Object,Classical Δt (s),SDKP Adjusted Δt (s),Time Compression Ratio
Electron,6.43809922421794e-22,5.727747957127451e-47,1.1240192956127805e+25
Proton,3.515202176422995e-25,4.727361543431681e-55,7.435864898691975e+29
Quantum Dot,2.6364016323172465e-16,8.005015624689064e-27,32934372097.73905
Micron-Scale Atom Cloud,5.272803264634492e-20,5.260245351111664e-28,100238732.46749173
